district,count_offset,total_amount_offset,year
940 - Mt. San Jacinto CCD                ,929,74125.22,2019
240 - Napa Valley CCD                    ,2,295.6,2019
860 - North Orange County CCD            ,1800,237043.59,2019
430 - Ohlone CCD                         ,178,12430.26,2019
060 - Palomar CCD                        ,819,158582.12,2019
770 - Pasadena Area CCD                  ,1701,339027.06,2019
160 - Redwoods CCD                       ,66,15595.62,2019
880 - Rio Hondo CCD                      ,3338,630274.9399999999,2019
980 - San Bernardino CCD                 ,76,23986.23,2019
360 - San Francisco CCD                  ,3509,573719.4399999999,2019
470 - San José-Evergreen CCD             ,2041,316390.2,2019
640 - San Luis Obispo County CCD         ,558,103762.62,2019
660 - Santa Clarita CCD                  ,125,22282.98,2019
560 - Sequoias CCD                       ,3113,302863.1,2019
170 - Shasta-Tehama-Trinity Joint CCD    ,758,129340.24,2019
180 - Siskiyou Joint CCD                 ,36,5874.16,2019
260 - Sonoma County JCD                  ,6620,895111.5,2019
890 - South Orange County CCD            ,3,719.99,2019
090 - Southwestern CCD                   ,1665,256591.89,2019
570 - State Center CCD                   ,5475,672321.2,2019
680 - Ventura County CCD                 ,1440,176738.28,2019
990 - Victor Valley CCD                  ,923,196424.96,2019
580 - West Hills CCD                     ,926,159439.85,2019
690 - West Kern CCD                      ,183,28298.57,2019
590 - Yosemite CCD                       ,322,39441.65,2019
